client_id,age,job,marital,education,credit_default,mortgage
497,497,35,admin_,divorced,university_degree,False,True
498,498,53,admin_,married,professional_course,True,True
499,499,51,admin_,married,basic_6y,False,True
500,500,56,entrepreneur,married,university_degree,False,True
501,501,33,admin_,married,basic_9y,True,False
502,502,33,admin_,married,basic_9y,True,True
503,503,51,services,divorced,high_school,False,True
504,504,39,services,married,high_school,False,True
505,505,45,entrepreneur,married,university_degree,True,True
506,506,40,technician,single,university_degree,True,True
508,508,33,technician,married,university_degree,True,True
509,509,47,blue-collar,married,high_school,False,True
510,510,48,blue-collar,married,basic_4y,True,True
511,511,43,entrepreneur,married,high_school,True,True
512,512,37,management,married,university_degree,True,True
513,513,50,services,married,basic_9y,True,True
514,514,59,entrepreneur,married,high_school,True,True
516,516,42,housemaid,single,basic_4y,False,True
517,517,52,blue-collar,married,basic_4y,True,True
520,520,40,management,married,basic_9y,False,False
521,521,38,blue-collar,married,basic_9y,True,True
522,522,39,blue-collar,married,basic_6y,True,True
523,523,39,blue-collar,married,basic_6y,True,True
524,524,38,admin_,married,high_school,True,True
526,526,30,services,single,high_school,True,True
527,527,38,admin_,divorced,high_school,True,True
528,528,39,technician,divorced,university_degree,True,True
529,529,44,admin_,married,high_school,True,True
530,530,36,admin_,married,high_school,True,True
531,531,41,services,married,high_school,False,True
532,532,41,blue-collar,married,basic_6y,True,True
533,533,35,blue-collar,married,basic_9y,True,True
534,534,41,technician,married,high_school,True,True
535,535,36,services,married,high_school,False,True
536,536,35,admin_,single,high_school,True,True
537,537,33,blue-collar,single,basic_4y,False,True
538,538,38,admin_,single,basic_6y,False,True
539,539,33,self-employed,married,university_degree,True,True
541,541,36,blue-collar,single,basic_9y,False,True
542,542,57,technician,married,professional_course,False,True
543,543,32,entrepreneur,single,university_degree,True,True
544,544,30,self-employed,single,high_school,True,True
545,545,43,admin_,married,professional_course,True,True
546,546,46,admin_,married,university_degree,True,True
547,547,35,admin_,divorced,high_school,True,True
548,548,34,admin_,single,university_degree,True,True
549,549,50,blue-collar,married,basic_4y,False,False
550,550,39,admin_,single,university_degree,True,True
551,551,39,blue-collar,married,basic_9y,False,True
552,552,42,entrepreneur,married,basic_6y,True,True
553,553,57,retired,married,university_degree,True,True
554,554,45,blue-collar,married,basic_4y,False,True
555,555,40,technician,married,basic_4y,True,True
556,556,42,blue-collar,married,high_school,True,True
557,557,40,technician,married,basic_4y,True,True
558,558,38,blue-collar,single,basic_4y,False,True
559,559,39,blue-collar,married,basic_6y,False,True
560,560,41,blue-collar,married,basic_4y,True,True
561,561,39,blue-collar,married,basic_6y,False,True
562,562,41,blue-collar,married,basic_4y,True,True
563,563,45,admin_,married,university_degree,False,True
564,564,35,admin_,divorced,university_degree,True,False
565,565,35,admin_,married,basic_6y,True,True
566,566,49,blue-collar,married,high_school,False,True
568,568,23,admin_,single,university_degree,True,True
569,569,43,unemployed,married,university_degree,False,False
570,570,49,entrepreneur,married,professional_course,True,False
571,571,36,technician,married,professional_course,True,False
572,572,51,blue-collar,married,basic_9y,False,True
573,573,56,retired,married,basic_4y,False,True
574,574,45,housemaid,married,high_school,True,True
575,575,42,admin_,married,high_school,True,True
576,576,41,admin_,divorced,high_school,True,True
577,577,32,services,married,high_school,False,True
578,578,46,management,married,university_degree,True,True
580,580,53,management,married,university_degree,False,True
581,581,30,blue-collar,married,basic_4y,True,True
583,583,24,technician,single,professional_course,True,True
585,585,34,admin_,single,university_degree,True,True
586,586,41,management,married,university_degree,False,True
587,587,59,blue-collar,married,basic_4y,True,True
588,588,45,blue-collar,married,basic_4y,False,True
589,589,54,blue-collar,married,basic_6y,False,True
590,590,32,technician,married,professional_course,True,True
591,591,33,technician,married,professional_course,True,True
592,592,32,admin_,married,university_degree,True,True
593,593,34,services,single,high_school,True,False
594,594,46,management,married,university_degree,True,True
595,595,57,technician,married,professional_course,True,True
596,596,42,technician,married,basic_9y,True,True
597,597,48,admin_,married,professional_course,True,True
598,598,58,admin_,divorced,university_degree,False,True
599,599,34,services,married,high_school,True,True
600,600,32,admin_,single,university_degree,True,True
601,601,48,blue-collar,married,basic_9y,True,True
602,602,47,blue-collar,married,basic_9y,True,True
603,603,31,services,married,high_school,False,True
604,604,32,admin_,single,university_degree,True,True
605,605,32,admin_,single,university_degree,True,True
606,606,36,services,married,high_school,True,True
607,607,53,blue-collar,married,basic_4y,False,True
608,608,37,blue-collar,married,basic_9y,False,True
609,609,50,services,married,high_school,True,True
610,610,46,blue-collar,married,basic_6y,True,True
611,611,41,admin_,married,high_school,True,True
612,612,43,blue-collar,single,basic_4y,True,True
613,613,51,management,married,university_degree,True,True
614,614,38,admin_,married,university_degree,True,True
615,615,41,technician,married,basic_6y,True,True
616,616,39,services,married,high_school,False,True
617,617,52,blue-collar,married,basic_4y,True,True
618,618,37,technician,married,professional_course,True,True
619,619,41,admin_,married,basic_9y,True,True
620,620,46,admin_,divorced,university_degree,True,True
621,621,47,technician,married,professional_course,True,True
622,622,35,technician,married,professional_course,True,True
623,623,38,services,married,high_school,False,True
625,625,46,blue-collar,married,basic_9y,True,True
626,626,30,technician,married,professional_course,True,True
627,627,35,services,single,basic_4y,True,True
629,629,40,technician,married,professional_course,True,True
630,630,34,technician,married,university_degree,True,True
631,631,30,admin_,single,university_degree,True,True
632,632,38,services,married,basic_6y,True,True
633,633,55,management,single,basic_4y,True,True
634,634,55,management,married,university_degree,False,True
635,635,45,technician,single,professional_course,True,True
636,636,36,admin_,married,university_degree,True,True
637,637,32,admin_,single,university_degree,True,True
639,639,55,management,divorced,university_degree,True,True
640,640,49,housemaid,married,basic_4y,False,False
641,641,29,admin_,married,high_school,True,True
642,642,34,blue-collar,married,basic_4y,True,True
643,643,54,retired,married,high_school,False,True
644,644,36,technician,single,professional_course,True,True
645,645,30,management,single,university_degree,True,True
646,646,33,housemaid,divorced,university_degree,True,True
647,647,37,blue-collar,married,high_school,True,True
648,648,36,technician,married,basic_9y,False,True
649,649,33,blue-collar,married,high_school,True,True
650,650,32,housemaid,married,high_school,True,True
651,651,32,housemaid,married,high_school,True,True
652,652,50,blue-collar,married,basic_4y,False,True
653,653,39,blue-collar,married,basic_9y,True,True
655,655,33,services,married,high_school,True,True
656,656,33,services,married,basic_4y,True,True
657,657,56,management,married,university_degree,False,True
658,658,39,management,divorced,university_degree,False,True
659,659,33,self-employed,single,university_degree,True,True
660,660,59,retired,divorced,basic_4y,False,True
662,662,43,services,married,high_school,True,True
663,663,35,admin_,married,university_degree,True,False
664,664,46,blue-collar,married,basic_6y,False,True
665,665,27,technician,married,basic_9y,True,True
666,666,47,admin_,divorced,university_degree,True,True
667,667,31,admin_,single,university_degree,True,True
668,668,32,blue-collar,married,basic_9y,True,True
669,669,54,admin_,married,high_school,True,True
670,670,56,management,married,university_degree,False,True
671,671,48,services,single,high_school,False,True
672,672,44,admin_,married,high_school,True,True
673,673,46,admin_,married,high_school,True,True
674,674,45,services,married,high_school,True,True
675,675,43,admin_,married,professional_course,True,True
676,676,40,admin_,single,high_school,False,True
677,677,56,management,married,university_degree,True,True
678,678,47,entrepreneur,married,professional_course,True,True
679,679,39,management,divorced,university_degree,False,True
680,680,48,technician,married,basic_4y,False,True
681,681,45,housemaid,married,professional_course,False,True
682,682,36,self-employed,married,university_degree,True,True
683,683,49,management,married,professional_course,False,True
684,684,46,services,married,high_school,True,True
685,685,38,blue-collar,married,basic_9y,True,True
686,686,50,housemaid,married,basic_4y,False,True
687,687,27,admin_,single,high_school,True,True
688,688,40,technician,married,professional_course,False,True
689,689,46,management,married,university_degree,True,True
690,690,40,admin_,divorced,university_degree,True,True
691,691,33,management,single,university_degree,True,True
692,692,54,retired,married,high_school,True,True
693,693,52,blue-collar,married,basic_4y,False,True
694,694,53,admin_,married,university_degree,False,True
695,695,49,services,married,high_school,False,True
696,696,42,blue-collar,married,basic_4y,False,True
697,697,49,housemaid,married,basic_4y,True,True
698,698,40,entrepreneur,married,basic_9y,True,True
699,699,59,admin_,married,university_degree,False,True
700,700,51,self-employed,married,basic_9y,True,True
701,701,57,housemaid,married,basic_6y,False,True
702,702,38,self-employed,divorced,basic_9y,True,True
703,703,52,self-employed,married,university_degree,True,True
704,704,26,unemployed,single,basic_9y,True,True
705,705,35,admin_,married,university_degree,True,True
706,706,51,admin_,married,university_degree,True,True
707,707,43,blue-collar,married,basic_4y,False,True
708,708,42,admin_,married,high_school,False,True
709,709,60,retired,divorced,university_degree,False,True
710,710,36,blue-collar,married,basic_9y,True,True
711,711,57,management,married,university_degree,False,True
712,712,35,student,single,university_degree,False,True
713,713,30,admin_,married,university_degree,True,True
714,714,43,services,married,high_school,True,True
715,715,40,technician,married,basic_9y,True,True
716,716,45,technician,married,university_degree,True,True
717,717,56,retired,married,high_school,True,True
718,718,46,services,married,basic_6y,True,True
719,719,41,blue-collar,married,basic_4y,True,True
